Layers,Qubits,PCA Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
3,10,10,17,50,0.8899,0.8899,0.6754,0.6930,1.63,26.66
3,10,10,18,50,0.8821,0.8821,0.6754,0.6930,1.51,28.17
3,10,10,19,50,0.9570,0.8821,0.6754,0.6930,1.56,29.73
3,10,10,20,50,0.7914,0.7914,0.6754,0.6930,1.60,31.33
3,10,10,21,50,0.8948,0.7914,0.6754,0.6930,1.63,32.96
3,10,10,22,50,0.8468,0.7914,0.6842,0.6930,1.51,34.48
3,10,10,23,50,0.8866,0.7914,0.6754,0.6930,1.60,36.08
3,10,10,24,50,0.9336,0.7914,0.6667,0.6930,1.59,37.67
3,10,10,25,50,0.8807,0.7914,0.6667,0.6930,1.63,39.31
3,10,10,26,50,0.8222,0.7914,0.6667,0.6930,1.51,40.82
3,10,10,27,50,0.9465,0.7914,0.6667,0.6930,1.66,42.48
3,10,10,28,50,0.9814,0.7914,0.6754,0.6930,1.55,44.02
3,10,10,29,50,0.9539,0.7914,0.6754,0.6930,1.59,45.61
3,10,10,30,50,0.7081,0.7081,0.6667,0.6930,1.64,47.25
3,10,10,31,50,1.1467,0.7081,0.6667,0.6930,1.53,48.78
3,10,10,32,50,0.8605,0.7081,0.6579,0.6930,1.60,50.38
3,10,10,33,50,0.8990,0.7081,0.6579,0.6930,1.61,51.99
3,10,10,34,50,0.9793,0.7081,0.6579,0.6930,1.60,53.59
3,10,10,35,50,0.9533,0.7081,0.6667,0.6930,1.57,55.16
3,10,10,36,50,0.7126,0.7081,0.6667,0.6930,1.59,56.75
3,10,10,37,50,1.1115,0.7081,0.6667,0.6930,1.64,58.38
3,10,10,38,50,0.9054,0.7081,0.6667,0.6930,1.53,59.91
3,10,10,39,50,1.0694,0.7081,0.6667,0.6930,1.57,61.48
3,10,10,40,50,0.8757,0.7081,0.6667,0.6930,1.62,63.10
3,10,10,41,50,0.8674,0.7081,0.6667,0.6930,1.57,64.67
3,10,10,42,50,0.9818,0.7081,0.6667,0.6930,1.60,66.27
3,10,10,43,50,0.9645,0.7081,0.6754,0.6930,1.64,67.91
3,10,10,44,50,0.8270,0.7081,0.6754,0.6930,1.52,69.44
3,10,10,45,50,0.9271,0.7081,0.6754,0.6930,1.58,71.01
3,10,10,46,50,0.8933,0.7081,0.6754,0.6930,1.62,72.63
3,10,10,47,50,0.8214,0.7081,0.6754,0.6930,1.58,74.21
3,10,10,48,50,0.8683,0.7081,0.6754,0.6930,1.61,75.82
3,10,10,49,50,0.7547,0.7081,0.6667,0.6930,1.59,77.40
3,10,10,50,50,0.8523,0.7081,0.6754,0.6930,1.60,79.00
=================================================================================3,10,10,1,100,0.9799,0.9799,0.6228,0.6228,1.49,1.49
3,10,10,2,100,0.9841,0.9799,0.6316,0.6316,1.56,3.05
3,10,10,3,100,1.0035,0.9799,0.6930,0.6930,1.54,4.59
3,10,10,4,100,0.9833,0.9799,0.6842,0.6930,1.56,6.15
3,10,10,5,100,0.9741,0.9741,0.6842,0.6930,1.60,7.75
3,10,10,6,100,0.9794,0.9741,0.6842,0.6930,1.49,9.24
3,10,10,7,100,1.0009,0.9741,0.6930,0.6930,1.56,10.81
3,10,10,8,100,0.9530,0.9530,0.6930,0.6930,1.57,12.37
3,10,10,9,100,0.9514,0.9514,0.6842,0.6930,1.54,13.91
3,10,10,10,100,0.9320,0.9320,0.6754,0.6930,1.57,15.48
3,10,10,11,100,0.9000,0.9000,0.6667,0.6930,1.61,17.09
