Layers,Qubits,PCA Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
6,6,8,68,100,0.0335,0.0335,0.9386,0.9737,0.28,19.57
6,6,8,69,100,0.0334,0.0334,0.9386,0.9737,0.28,19.85
6,6,8,70,100,0.0357,0.0334,0.9123,0.9737,0.28,20.14
6,6,8,71,100,0.0379,0.0334,0.9211,0.9737,0.28,20.42
6,6,8,72,100,0.0471,0.0334,0.9474,0.9737,0.28,20.70
6,6,8,73,100,0.0762,0.0334,0.8596,0.9737,0.28,20.98
6,6,8,74,100,0.0796,0.0334,0.9561,0.9737,0.28,21.26
6,6,8,75,100,0.0585,0.0334,0.9474,0.9737,0.28,21.55
6,6,8,76,100,0.0417,0.0334,0.9474,0.9737,0.28,21.83
6,6,8,77,100,0.0379,0.0334,0.9474,0.9737,0.28,22.11
6,6,8,78,100,0.0516,0.0334,0.9649,0.9737,0.28,22.39
6,6,8,79,100,0.0400,0.0334,0.9386,0.9737,0.28,22.67
6,6,8,80,100,0.0408,0.0334,0.9474,0.9737,0.28,22.96
6,6,8,81,100,0.0359,0.0334,0.9211,0.9737,0.28,23.24
6,6,8,82,100,0.0365,0.0334,0.9298,0.9737,0.28,23.52
6,6,8,83,100,0.0315,0.0315,0.9386,0.9737,0.28,23.80
6,6,8,84,100,0.0338,0.0315,0.9123,0.9737,0.29,24.09
6,6,8,85,100,0.0344,0.0315,0.9211,0.9737,0.28,24.37
6,6,8,86,100,0.0353,0.0315,0.9386,0.9737,0.28,24.66
6,6,8,87,100,0.0366,0.0315,0.9561,0.9737,0.28,24.94
6,6,8,88,100,0.0315,0.0315,0.9123,0.9737,0.28,25.22
6,6,8,89,100,0.0282,0.0282,0.9561,0.9737,0.28,25.50
6,6,8,90,100,0.0688,0.0282,0.9737,0.9737,0.28,25.79
6,6,8,91,100,0.0778,0.0282,0.9298,0.9737,0.28,26.07
6,6,8,92,100,0.0549,0.0282,0.9474,0.9737,0.28,26.35
6,6,8,93,100,0.0573,0.0282,0.9561,0.9737,0.30,26.65
6,6,8,94,100,0.0394,0.0282,0.9386,0.9737,0.29,26.94
6,6,8,95,100,0.0360,0.0282,0.9474,0.9737,0.28,27.22
6,6,8,96,100,0.0355,0.0282,0.9561,0.9737,0.28,27.50
6,6,8,97,100,0.0313,0.0282,0.9298,0.9737,0.28,27.79
6,6,8,98,100,0.0303,0.0282,0.9474,0.9737,0.28,28.07
6,6,8,99,100,0.0366,0.0282,0.9298,0.9737,0.28,28.35
6,6,8,100,100,0.0329,0.0282,0.9298,0.9737,0.28,28.63
=================================================================================
6,6,8,1,100,0.5913,0.5913,0.8158,0.8158,0.28,0.28
6,6,8,2,100,0.4020,0.4020,0.9298,0.9298,0.28,0.56
6,6,8,3,100,0.2535,0.2535,0.9298,0.9298,0.27,0.84
6,6,8,4,100,0.1806,0.1806,0.9298,0.9298,0.28,1.12
6,6,8,5,100,0.1837,0.1806,0.9298,0.9298,0.28,1.40
6,6,8,6,100,0.1481,0.1481,0.9561,0.9561,0.33,1.73
6,6,8,7,100,0.1213,0.1213,0.9474,0.9561,0.32,2.05
6,6,8,8,100,0.1145,0.1145,0.9561,0.9561,0.31,2.36
6,6,8,9,100,0.1082,0.1082,0.9211,0.9561,0.29,2.65
6,6,8,10,100,0.1099,0.1082,0.9474,0.9561,0.28,2.93
6,6,8,11,100,0.1037,0.1037,0.9561,0.9561,0.29,3.21
6,6,8,12,100,0.0969,0.0969,0.9386,0.9561,0.27,3.49
6,6,8,13,100,0.0980,0.0969,0.9211,0.9561,0.27,3.76
6,6,8,14,100,0.0925,0.0925,0.9386,0.9561,0.29,4.05
6,6,8,15,100,0.0860,0.0860,0.9298,0.9561,0.29,4.34
6,6,8,16,100,0.0826,0.0826,0.9386,0.9561,0.29,4.62
6,6,8,17,100,0.0869,0.0826,0.9474,0.9561,0.27,4.90
6,6,8,18,100,0.0878,0.0826,0.9474,0.9561,0.28,5.17
6,6,8,19,100,0.0782,0.0782,0.9561,0.9561,0.27,5.45
6,6,8,20,100,0.0982,0.0782,0.9298,0.9561,0.28,5.72
6,6,8,21,100,0.0879,0.0782,0.9561,0.9561,0.28,6.00
6,6,8,22,100,0.0747,0.0747,0.9211,0.9561,0.28,6.28
6,6,8,23,100,0.0729,0.0729,0.9298,0.9561,0.27,6.55
6,6,8,24,100,0.0683,0.0683,0.9561,0.9561,0.27,6.83
6,6,8,25,100,0.0724,0.0683,0.9474,0.9561,0.27,7.10
6,6,8,26,100,0.0776,0.0683,0.9298,0.9561,0.27,7.37
6,6,8,27,100,0.0752,0.0683,0.9123,0.9561,0.27,7.64
6,6,8,28,100,0.0809,0.0683,0.9298,0.9561,0.27,7.92
6,6,8,29,100,0.0730,0.0683,0.9474,0.9561,0.27,8.19
6,6,8,30,100,0.0694,0.0683,0.9386,0.9561,0.30,8.49
6,6,8,31,100,0.0673,0.0673,0.9298,0.9561,0.29,8.78
6,6,8,32,100,0.0604,0.0604,0.9386,0.9561,0.30,9.08
6,6,8,33,100,0.0587,0.0587,0.9474,0.9561,0.31,9.39
6,6,8,34,100,0.0667,0.0587,0.9298,0.9561,0.28,9.67
6,6,8,35,100,0.0672,0.0587,0.8947,0.9561,0.27,9.94
6,6,8,36,100,0.0651,0.0587,0.9561,0.9561,0.27,10.22
6,6,8,37,100,0.0769,0.0587,0.9649,0.9649,0.27,10.49
6,6,8,38,100,0.0669,0.0587,0.9386,0.9649,0.27,10.76
6,6,8,39,100,0.0577,0.0577,0.9474,0.9649,0.27,11.03
6,6,8,40,100,0.0598,0.0577,0.9298,0.9649,0.27,11.30
6,6,8,41,100,0.0625,0.0577,0.9474,0.9649,0.27,11.58
6,6,8,42,100,0.0615,0.0577,0.9386,0.9649,0.27,11.85
6,6,8,43,100,0.0612,0.0577,0.9649,0.9649,0.27,12.12
6,6,8,44,100,0.0867,0.0577,0.9649,0.9649,0.27,12.39
6,6,8,45,100,0.0958,0.0577,0.9561,0.9649,0.28,12.68
6,6,8,46,100,0.1101,0.0577,0.9474,0.9649,0.27,12.95
6,6,8,47,100,0.0915,0.0577,0.9474,0.9649,0.27,13.22
6,6,8,48,100,0.0747,0.0577,0.9386,0.9649,0.27,13.49
6,6,8,49,100,0.0734,0.0577,0.9474,0.9649,0.28,13.77
6,6,8,50,100,0.0598,0.0577,0.9211,0.9649,0.27,14.04
6,6,8,51,100,0.0571,0.0571,0.9561,0.9649,0.29,14.34
6,6,8,52,100,0.0587,0.0571,0.9561,0.9649,0.28,14.61
6,6,8,53,100,0.0571,0.0571,0.9298,0.9649,0.27,14.89
6,6,8,54,100,0.0622,0.0571,0.9474,0.9649,0.27,15.16
6,6,8,55,100,0.0574,0.0571,0.9386,0.9649,0.27,15.43
6,6,8,56,100,0.0614,0.0571,0.9298,0.9649,0.27,15.70
6,6,8,57,100,0.0794,0.0571,0.8333,0.9649,0.27,15.97
